"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1956";"Limburg (PV)";"    2252";"      11";"      87";"       6";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    1569";"     266";"      95";"      31";""
"1957";"Limburg (PV)";"    2252";"      11";"      88";"       6";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    1566";"     267";"      93";"      31";""
"1958";"Limburg (PV)";"    2252";"      11";"      88";"       6";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    1563";"     268";"      87";"      32";""
"1959";"Limburg (PV)";"    2252";"      11";"      89";"       6";"       .";"       .";"       .";"       .";"       2";"       .";"       4";"       .";"       .";"       .";"    1564";"     270";"      86";"      33";""
"1960";"Limburg (PV)";"    2253";"      11";"      67";"       3";"       .";"       .";"       .";"       .";"       3";"       .";"       4";"       .";"       .";"       .";"    1570";"     281";"      86";"      32";""
"1961";"Limburg (PV)";"    2252";"       6";"      29";"       3";"       .";"       .";"       .";"       .";"       5";"       .";"       4";"       .";"       .";"       .";"    1646";"     288";"      86";"      31";""
"1962";"Limburg (PV)";"    2252";"       6";"      29";"       3";"       .";"       .";"       .";"       .";"       6";"       .";"       4";"       .";"       .";"       .";"    1638";"     289";"      85";"      32";""
"1963";"Limburg (PV)";"    2252";"       6";"      30";"       3";"       .";"       .";"       .";"       .";"       9";"       .";"       5";"       .";"       .";"       .";"    1632";"     287";"      85";"      32";""
"1964";"Limburg (PV)";"    2209";"       6";"      31";"       3";"       .";"       .";"       .";"       .";"      12";"       .";"       5";"       .";"       .";"       .";"    1588";"     283";"      83";"      33";""
"1965";"Limburg (PV)";"    2209";"       6";"      31";"       2";"       .";"       .";"       .";"       .";"      13";"       .";"       6";"       .";"       .";"       .";"    1582";"     282";"      83";"      34";""
"1966";"Limburg (PV)";"    2209";"       6";"      32";"       2";"       .";"       .";"       .";"       .";"      13";"       .";"       6";"       .";"       .";"       .";"    1580";"     282";"      81";"      34";""
"1967";"Limburg (PV)";"    2209";"       6";"      32";"       3";"       .";"      21";"       .";"       .";"      14";"       .";"       5";"       .";"       .";"       .";"    1565";"     282";"      81";"      35";""
"1968";"Limburg (PV)";"    2209";"       6";"      33";"       3";"       .";"      24";"       .";"       .";"      13";"       .";"       6";"       .";"       .";"       .";"    1559";"     281";"      79";"      36";""
"1969";"Limburg (PV)";"    2209";"       6";"      35";"       3";"       .";"      25";"       .";"       .";"      13";"       .";"       6";"       .";"       .";"       .";"    1550";"     281";"      78";"      36";""
"1970";"Limburg (PV)";"    2209";"       6";"      36";"       3";"       .";"      26";"       .";"       .";"      16";"       .";"       6";"       .";"       .";"       .";"    1544";"     281";"      78";"      37";""
"1971";"Limburg (PV)";"    2209";"       6";"      37";"       3";"       .";"      28";"       .";"       .";"      14";"       .";"       7";"       .";"       .";"       .";"    1539";"     280";"      78";"      38";""
"1972";"Limburg (PV)";"    2205";"       6";"      39";"       3";"       .";"      28";"       .";"       .";"      15";"       .";"       7";"       4";"       .";"       .";"    1525";"     280";"      77";"      40";""
"1973";"Limburg (PV)";"    2209";"       6";"      41";"       3";"       .";"      29";"       .";"       .";"      13";"       .";"       8";"       9";"       .";"       .";"    1516";"     280";"      77";"      41";""
"1974";"Limburg (PV)";"    2206";"       6";"      42";"       3";"       .";"      31";"       .";"       .";"      11";"       .";"       8";"      11";"       .";"       .";"    1508";"     279";"      77";"      42";""
"1975";"Limburg (PV)";"    2206";"       6";"      43";"       3";"       .";"      33";"       .";"       .";"      11";"       .";"       8";"      12";"       .";"       .";"    1498";"     279";"      77";"      43";""
"1976";"Limburg (PV)";"    2206";"       6";"      43";"       3";"       .";"      35";"       .";"       .";"      11";"       .";"       8";"      13";"       .";"       .";"    1491";"     278";"      77";"      43";""
"1977";"Limburg (PV)";"    2204";"       9";"      90";"       1";"     180";"      48";"      17";"      17";"      15";"       9";"       5";"      18";"      22";"       8";"    1408";"     276";"      46";"      37";""
"1978";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Limburg (PV)";"    2209";"       9";"      90";"       5";"     182";"      48";"      16";"      17";"      14";"       9";"       5";"      18";"      22";"       8";"    1398";"     281";"      49";"      37";""
"1980";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Limburg (PV)";"    2208";"       9";"      90";"       5";"     187";"      50";"      16";"      16";"      16";"       8";"       7";"      20";"      22";"       8";"    1386";"     281";"      49";"      38";""
"1982";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Limburg (PV)";"    2209";"       9";"      90";"       2";"     191";"      50";"      17";"      17";"      14";"       9";"       7";"      21";"      23";"       8";"    1378";"     285";"      49";"      39";""
"1984";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Limburg (PV)";"    2209";"       9";"      89";"       2";"     192";"      52";"      17";"      17";"      14";"      10";"       8";"      21";"      24";"       8";"    1376";"     285";"      46";"      39";""
"1986";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Limburg (PV)";"    2208";"       9";"      90";"       3";"     192";"      55";"      17";"      17";"      10";"       9";"       8";"      23";"      23";"       8";"    1372";"     288";"      41";"      42";""
"1990";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Limburg (PV)";"    2209";"       9";"      88";"       1";"     192";"      58";"      16";"      18";"      11";"      11";"       9";"      25";"      23";"       8";"    1369";"     289";"      41";"      41";""
"1994";"Limburg (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Limburg (PV)";"    2209";"       8";"      69";"       2";"     185";"      60";"      14";"      10";"      15";"       7";"      15";"      26";"      20";"       8";"    1364";"     322";"      30";"      55";""
"1997";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Limburg (PV)";"    2209";"       8";"      70";"       3";"     189";"      66";"      14";"      10";"      21";"       7";"      15";"      26";"      21";"       9";"    1342";"     324";"      29";"      56";""
"2001";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Limburg (PV)";"    2209";"       8";"      71";"       2";"     193";"      71";"      14";"      10";"      20";"       7";"      17";"      25";"      22";"      11";"    1329";"     319";"      32";"      58";""
"2004";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Limburg (PV)";"    2209";"       7";"      71";"       2";"     195";"      75";"      13";"      10";"      24";"       7";"      17";"      27";"      23";"      11";"    1315";"     319";"      32";"      59";""
"2007";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Limburg (PV)";"    2209";"       7";"      74";"       2";"     198";"      81";"      14";"       9";"      14";"       7";"      18";"      28";"      24";"      13";"    1310";"     318";"      33";"      59";""
"2009";"Limburg (PV)";"    2209";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
