"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1978";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1979";"Groningen (PV)";"    2596";"       6";"      52";"       0";"     108";"      28";"       5";"       8";"      19";"       8";"       7";"      11";"      10";"       2";"    2003";"      23";"      46";"      55";"     205"
"1980";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Groningen (PV)";"    2597";"       6";"      54";"       0";"     110";"      29";"       5";"       9";"      19";"       8";"       7";"      11";"      10";"       2";"    1995";"      24";"      47";"      57";"     205"
"1982";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Groningen (PV)";"    2607";"       6";"      54";"       0";"     113";"      29";"       5";"       8";"      18";"       9";"       7";"      11";"      11";"       2";"    1989";"      26";"      47";"      58";"     214"
"1984";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Groningen (PV)";"    2611";"       6";"      57";"       0";"     111";"      30";"       6";"       7";"      17";"       9";"       8";"      12";"      11";"       2";"    1982";"      28";"      50";"      59";"     216"
"1986";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Groningen (PV)";"    2968";"       6";"      68";"       0";"     106";"      35";"       6";"       6";"      17";"       8";"       9";"      12";"      11";"       1";"    1962";"      36";"      60";"      62";"     563"
"1990";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1991";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1992";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1993";"Groningen (PV)";"    2967";"       6";"      70";"       0";"     107";"      38";"       7";"       6";"      19";"       9";"       9";"      12";"      11";"       1";"    1950";"      39";"      59";"      62";"     565"
"1994";"Groningen (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1995";"Groningen (PV)";"    2967";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1996";"Groningen (PV)";"    2967";"       5";"      58";"       0";"     101";"      31";"       7";"       5";"      17";"       9";"      12";"      13";"      11";"       1";"    1946";"      61";"      61";"      65";"     564"
